"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Alabama","Alabama","01","00","01",,3.4824161407,5.0732772786,10.432760034,3238,6321,2454,65.79252,125.41973,48.69166,3.6268040375,14.910000986,39891,424832,2912,88086,2572,66.775176328,499.86855039,17.481628657,13,"",27075,14158,552.2,341.6,9.3,,13.156788792,11.296939615,1.7080724559,0.8279373305,83.78249329,2146674,35
"Alaska","Alaska","02","00","02",,3.0370546865,3.3323282925,6.0648839419,713,4945,756,97.51654,674.92592,103.18382,8.6384971535,14.806005353,16251,67041,472,8663,402,64.883470936,364.4509186,18.271556232,7.4,"",5090,730,695.8,121.7,7.55,,20.422743689,11.488475423,6.6569302729,4.4997927727,67.491712391,349920,17.4
"Arizona","Arizona","04","00","04",,3.0927325123,4.3825062626,7.3232634911,4871,12332,4767,65.63451,169.48137,65.51392,9.2837359756,15.236259223,158079,654953,3255,90822,6127,49.597687331,359.99860117,28.013286903,9.7,"",37289,17695,512.3,282.9,4.8,,17.410268078,13.095593956,4.4730813956,1.1824895869,72.531922942,3174911,36.3
"Arkansas","Arkansas","05","00","05",,4.0567410688,5.4955308805,9.1898765112,2060,7706,1472,67.97509,254.66879,48.64683,4.2045649562,12.584365527,29890,217706,1883,50906,1378,67.044341483,478.46158434,15.206102834,11.7,"",16053,6058,531.9,239.3,8.9,,13.789321889,10.625666408,2.7796247204,1.1791169791,81.484503014,1295639,27.6
"California","California","06","00","06",,2.9643991203,4.0305438045,6.8890215034,31906,166354,35599,81.04536,423.96324,90.72621,3.3960036488,9.9535888771,311567,2421724,12544,378883,20454,35.101891467,288.13466413,17.269890529,9.2,"",178679,134381,452.2,406,7.1,,25.869031333,18.867083568,8.2318551486,1.299038313,70.141799665,18283118,41.9
"Colorado","Colorado","08","00","08",,2.6662531871,4.2944659016,9.1245003477,4823,24878,4912,83.04465,428.04034,84.51379,5.3582235716,11.530297247,69324,415646,2243,58091,3566,44.533816514,298.26440686,20.658070183,7,"",26137,13249,453.9,269.1,4.45,,15.966533193,13.322363782,2.6263439422,0.8880895488,70.6246209,2959315,36.4
"Connecticut","Connecticut","09","00","09",,2.6097676775,4.29658647,7.8077100017,3043,16504,3130,85.54948,457.7328,86.80948,2.7863408421,6.3704831638,20825,135048,991,38493,3654,33.875581927,297.63168833,34.165632067,8.2,"",12716,10569,356.7,345.4,7.4,,17.518575665,15.761929876,1.8632203656,0.7795031169,74.063253089,1791786,34.5
"Delaware","Delaware","10","00","10",,3.0860908416,4.1790770782,8.9751059322,741,3108,463,75.09052,309.7518,46.14385,3.2536252761,9.1140647021,6776,51347,416,13471,1280,50.959908272,370.51980727,43.719669479,10.5,"",4855,3439,498.6,409,7.6,,14.514752835,12.797452799,1.7821754927,0.5752504679,76.781607195,459571,34.2
"District Of Columbia","District of Columbia","11","00","11",,2.384004123,4.9894486397,9.9849198008,896,4191,863,125.69864,625.47571,128.79636,1.6035291646,4.2945452253,2061,19751,347,8978,989,68.073652946,432.51712772,46.628508925,8.1,"",6413,13792,908.7,2260.4,8.9,,19.818204195,16.879445395,3.6253670201,0.6628338344,30.726064246,371014,49.3
